DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2014,4373,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2015,7562,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2016,14544,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2017,21409,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2018,28994,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2019,35881,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2020,43675,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AL,2021,52846,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2013,5972,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2014,7931,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2015,10125,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2016,14459,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2017,20180,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2018,26732,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2019,35642,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2020,50615,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,AT,2021,82381,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2013,198,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2014,202,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2015,3926,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2016,8339,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2017,34594,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2018,37425,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2019,38302,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2020,39366,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BA,2021,37469,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2013,18859,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2014,18848,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2015,42575,
